x,z,lat,lon
0,0,41.879400000000004,-87.62985
182.252,-352.941,41.87622939840179,-87.62765109591948
-192.082,707.137,41.885752004021725,-87.63216750484823
-55.424,704.298,41.88572650338091,-87.63051870080855
-195.903,-280.386,41.87688120006945,-87.63221360591977
-2.42,-68.305,41.87878640279936,-87.62987919774748
-66.456,-275.277,41.87692709678976,-87.63065180392849
-3.581,-8.171,41.87932659861599,-87.62989320542718
-155.157,-270.39,41.876970999141406,-87.63172199789534
-66.331,-277.993,41.87690269759784,-87.63065029578038
-63.828,-9.329,41.8793161961122,-87.63062009662255
-62.668,-69.463,41.87877600020764,-87.63060610100804
185.227,-602.313,41.873989101204984,-87.62761520199437
-168.004,-276.768,41.876913702389174,-87.63187699932591
-168.045,-270.724,41.876967998654266,-87.63187749399849
155.165,195.791,41.88115879627375,-87.62797790558317
155.464,188.978,41.88109759570861,-87.62797429809288
180.229,-403.633,41.87577400020254,-87.62767550378855
317.467,-12.0,41.87929220207499,-87.62601970194163
311.375,31.281,41.87968100138619,-87.62609320304811
297.376,-139.693,41.878145104109024,-87.6262621035717
298.089,-176.016,41.87781880180779,-87.62625350109487
265.4,-176.573,41.87781379806768,-87.62664789992442
264.687,-140.439,41.878138402545034,-87.62665650240127
239.789,-152.539,41.87802970415731,-87.62695690137521
241.77,-261.318,41.87705249734961,-87.6269330002439
195.654,-153.385,41.87802210424661,-87.6274893983113
327.794,-118.343,41.87833689790057,-87.62589510477707
381.262,-117.352,41.87834580035249,-87.6252500034702
327.231,-87.998,41.87860949562699,-87.62590189747617
380.699,-87.007,41.87861839804094,-87.6252567961693
378.32,-187.059,41.8777195983194,-87.62528549924421
-114.511,274.72,41.881867804096004,-87.63123159638944
-392.161,-32.394,41.87910899908428,-87.63458149498015
34.852,229.489,41.881461501509506,-87.62942950417546
-59.601,188.221,41.88109079564222,-87.63056909708592
46.837,215.34,41.88133440285395,-87.6292849029343
27.658,215.451,41.88133539995371,-87.62951630111571
46.671,222.086,41.881395001339826,-87.629286905755
35.441,202.092,41.88121539753686,-87.62942239778155
27.65,208.727,41.8812749990349,-87.62951639763719
46.978,209.339,41.88128049656288,-87.6292832017432
358.038,29.121,41.879661597858444,-87.6255302053246
-214.634,-192.769,41.87766830314732,-87.63243959889834
314.558,-271.369,41.8769622042999,-87.62605479956454
-191.079,-192.614,41.87766969557373,-87.63215540346775
-181.854,-224.762,41.87738089670427,-87.63204410213693
303.709,-268.075,41.876991795927324,-87.62618569475566
181.091,-276.167,41.876919101473845,-87.62766510359916
314.599,-254.516,41.87711360297064,-87.62605430489195
-19.917,135.633,41.88061840035388,-87.63009030228788
-18.798,82.6,41.880142004116806,-87.63007680134598
-18.723,79.104,41.88011059937142,-87.6300758964571
-147.689,-11.978,41.87929239970467,-87.63163189509444
-93.666,-10.419,41.87930640446203,-87.63098009760995
-113.351,267.962,41.88180709826477,-87.63121760077493
270.655,705.678,41.88573889890327,-87.62658449737773
298.752,661.035,41.885337902535696,-87.62624550187726
-336.829,-157.415,41.8779859013498,-87.63391390416862
14.612,200.088,41.88119739580745,-87.62967370351807
18.674,200.088,41.88119739580745,-87.62962469473698
14.695,176.967,41.88098970183506,-87.62967270210771
18.897,176.967,41.88098970183506,-87.62962200420073
-449.342,137.492,41.8806350997144,-87.6352713943186
295.702,665.744,41.885380200257515,-87.62628230069126
160.942,-118.755,41.87833319677992,-87.62790820500994
300.128,674.216,41.885456298360566,-87.62622890018282
-446.806,-3.028,41.8793727990074,-87.63524079700967
272.652,709.063,41.8857693038519,-87.62656040320346
299.249,667.492,41.885395901337205,-87.62623950548036
296.647,673.793,41.88545249884697,-87.6262708990915
295.114,658.719,41.885317099483615,-87.62628939501997
164.838,-75.474,41.87872200192581,-87.62786119904952
-216.093,262.006,41.88175359659945,-87.63245720200314
-212.313,13.47,41.87952100295422,-87.63241159560415
-40.331,166.914,41.88089939638232,-87.63033660097267
-50.791,202.526,41.881219296114296,-87.63046280280686
-50.907,205.198,41.881243298410794,-87.6304642023683
-40.837,205.276,41.8812439990765,-87.63034270595625
-41.624,166.926,41.88089950417765,-87.63035220125676
-42.221,202.649,41.88122040101064,-87.63035940417217
-26.788,167.07,41.880900797721296,-87.63017320217341
-26.879,176.989,41.88098989945951,-87.63017430010525
6.672,203.083,41.881224299587785,-87.62976950108626
6.515,206.111,41.881251499792256,-87.62977139532032
-24.542,175.419,41.880975796258895,-87.63014610376811
-1.757,202.983,41.88122340129814,-87.6298711985299
-24.616,167.07,41.880900797721296,-87.6301469965918
-3.108,177.412,41.8809936992385,-87.62988749859471
-1.774,175.742,41.88097869774563,-87.62987140363805
-3.423,206.089,41.881251302168636,-87.62989129912796
130.566,-188.795,41.87770400315412,-87.62827469706681
130.897,-209.701,41.877516196100686,-87.62827070349061
102.327,-209.923,41.877514201781935,-87.62861540582355
101.996,-189.129,41.87770100270137,-87.62861939939974
302.291,-0.69,41.87939380162422,-87.62620280318785
-340.185,-15.54,41.8792604016524,-87.63395439492919
-369.004,-269.822,41.87697610176593,-87.63430210149315
377.3,157.764,41.88081720240962,-87.62529780573283
-7.435,20.461,41.87958380402591,-87.62993970464981
-82.336,224.758,41.88141900357036,-87.63084339906489
16.825,134.197,41.880605500791035,-87.62964700326386
-48.453,-23.822,41.879186002974706,-87.63043459440452
118.432,-15.139,41.87926400390444,-87.62842109602055
-435.559,206.245,41.881252703499854,-87.63510509987496
-434.855,150.639,41.88075319883305,-87.63509660598478
397.657,-141.452,41.87812930243092,-87.62505219476358
-950.727,825.705,41.88681700373212,-87.64132069705555
20.547,221.908,41.88139340238851,-87.62960209664561
310.041,-279.418,41.876889896103506,-87.6261092980048
261.281,-5.321,41.879352200625846,-87.62669759642108
-295.685,151.151,41.880757798109755,-87.63341749420061
47.111,202.315,41.88121740072299,-87.62928159707363
-218.09,152.376,41.88076880223716,-87.63248129617739
-432.675,-83.144,41.878653100375374,-87.63507030388168
-68.561,157.263,41.88081270194971,-87.63067720114272
2.395,170.21,41.880929004152534,-87.62982110388214
2.694,157.775,41.880817301222095,-87.62981749639185
26.125,157.953,41.88081890018782,-87.62953479704419
11.007,157.842,41.880817903079986,-87.62971719850968
10.791,170.187,41.880928797544925,-87.62971980458963
326.908,22.809,41.879604896404686,-87.6259057945309
437.83,26.85,41.87964119719862,-87.62456750009012
436.38,150.483,41.88075179749083,-87.62458499460824
323.228,6.746,41.87946060032033,-87.62595019441136
322.913,14.828,41.87953320205153,-87.62595399494461
322.647,24.168,41.87961710446908,-87.62595720428381
436.197,159.144,41.88082959888442,-87.62458720253707
293.854,155.482,41.880796703306174,-87.62630459715295
294.351,146.843,41.88071909949784,-87.62629860075606
306.941,147.144,41.88072180337102,-87.62614670007802
320.31,146.843,41.88071909949784,-87.62598540062095
319.995,156.194,41.88080309917086,-87.62598920115418
319.572,164.744,41.88087990339508,-87.6259943047274
306.643,164.744,41.88087990339508,-87.62615029550312
294.202,163.864,41.880871998403194,-87.62630039846862
187.573,160.491,41.880841698919426,-87.62758689707056
188.153,152.61,41.880770904249886,-87.62757989926331
188.741,144.505,41.88069809731661,-87.62757280493459
28.727,145.396,41.88070610114272,-87.62950340343305
28.139,138.193,41.88064139678255,-87.62951049776176
31.869,138.071,41.88064030085914,-87.62946549462204
36.817,137.659,41.88063659987196,-87.62940579608711
50.874,138.639,41.8806454031907,-87.62923619578281
50.882,145.808,41.88070980212589,-87.62923609926132
50.733,155.649,41.880798203459904,-87.62923789697388
36.419,157.129,41.88081149823384,-87.62941059803072
31.479,156.829,41.880808803347406,-87.62947020004415
27.849,156.083,41.88080210206277,-87.62951399666538
-92.564,152.131,41.880766601411864,-87.63096680177618
-93.434,143.37,41.88068790164445,-87.63097729848704
-92.274,136.145,41.88062299964025,-87.63096330287254
-80.09,136.434,41.88062559572168,-87.63081630065959
-70.857,136.145,41.88062299964025,-87.63070490280728
-70.699,143.748,41.880691297207704,-87.63070299650806
-70.716,156.383,41.88080479694949,-87.63070320161621
-80.562,154.936,41.88079179861174,-87.63082199542687
-90.956,153.3,41.88077710249209,-87.63094740095883
-203.768,151.407,41.88076009774795,-87.6323084985991
-193.772,152.565,41.88077050001672,-87.6321878950107
-194.643,141.7,41.88067290007976,-87.63219840378677
-194.212,134.23,41.88060579722952,-87.63219320369208
-203.345,134.843,41.88061130379802,-87.63230339502587
345.076,249.516,41.881641401054424,-87.6256865942514
40.505,-136.955,41.87816970045978,-87.62936129968516
99.982,-67.804,41.87879090340198,-87.62864369868217
-3153.288,2729.209,41.90391219841152,-87.66789500279984
-2982.996,2619.83,41.90292999956776,-87.66584039833086
-102.187,16.152,41.87954509571995,-87.63108290505058
36.75,-269.499,41.876979003434286,-87.6294066044545
99.294,158.71,41.88082570028317,-87.62865199952938
6.73,-137.679,41.87816319653152,-87.62976880130553
52.523,-55.626,41.87890030118638,-87.6292163002929
55.714,-55.626,41.87890030118638,-87.62917780028783
52.523,-58.287,41.878876396825234,-87.6292163002929
53.733,-58.287,41.878876396825234,-87.62920170141913
54.429,-58.287,41.878876396825234,-87.62919330405045
55.714,-58.287,41.878876396825234,-87.62917780028783
41.757,-60.379,41.878857603912735,-87.62934619407365
53.725,-60.324,41.87885809799036,-87.62920179794064
44.467,-161.389,41.87795020150051,-87.62931349742253
341.512,277.525,41.88189300086165,-87.62572959457044
-3.63,214.683,41.88132850110088,-87.62989379662123
312.71,-240.513,41.87723939843664,-87.62607709602626
375.369,-66.725,41.87880059631553,-87.62532110360489
14.811,173.56,41.88095909698737,-87.62967130254629
353.206,-19.281,41.87922679559537,-87.62558850429808
377.068,-19.102,41.87922840358405,-87.62530060485571
342.63,-81.797,41.87866520082255,-87.62571610569371
353.811,-63.196,41.87883229815142,-87.6255812048612
376.306,-24.757,41.87917760369811,-87.62530979852662
375.295,-62.506,41.878838496581665,-87.62532199642857
350.969,4.542,41.87944080146718,-87.62561549411674
377.682,-66.725,41.87880059631553,-87.62529319683217
353.264,-21.062,41.87921079655476,-87.62558780451735
332.021,-21.34,41.87920829923084,-87.62584410524043
353.952,-75.118,41.878725199962076,-87.62557950367014
328.225,-81.986,41.87866350298708,-87.62588990468237
383.699,-202.721,41.87757890032512,-87.62522060061457
351.143,-19.292,41.87922669678039,-87.62561339477456
342.39,-63.341,41.87883099558269,-87.6257190013381
-305.068,13.292,41.87951940395601,-87.63353070183064
-90.028,259.546,41.881731498853554,-87.63093620446723
332.046,-23.622,41.87918779961126,-87.6258438036108
376.894,4.731,41.879442499281964,-87.62530270419789
293.058,-176.105,41.87781800228743,-87.62631420104015
327.479,-23.678,41.87918729655303,-87.6258989053103
