x,z,lat,lon
0,0,43.000654999999995,-78.78736
34.454,152.743,43.00202709839317,-78.78693680005337
38.639,166.046,43.00214659849044,-78.78688539552046
-55.304,265.825,43.00304290019915,-78.78803930138298
-105.422,215.785,43.002593399057474,-78.78865490290751
48.652,266.638,43.00305020321815,-78.78676240541581
18.497,266.482,43.00304880190092,-78.78713280056269
19.914,274.063,43.003116900491506,-78.78711539549147
1.262,-58.854,43.00012630324801,-78.78734449880037
-4.999,-56.806,43.00014470090056,-78.78742140292951
537.986,109.194,43.00163589856123,-78.78075189509215
324.439,101.769,43.001569199680034,-78.78337490197106
423.804,101.802,43.001569496119686,-78.78215439745205
460.684,108.882,43.00163309586222,-78.78170139884426
406.064,148.969,43.00199319672214,-78.78237229862616
419.823,102.404,43.00157490389694,-78.78220329624426
542.659,111.187,43.00165380169639,-78.78069449643449
540.257,109.929,43.00164250107281,-78.78072400030261
438.654,-6.679,43.00059500149288,-78.78197199427075
545.875,113.313,43.001672899565904,-78.78065499416978
556.906,183.691,43.002305102169714,-78.78051949992785
582.014,217.399,43.00260789740702,-78.7802110972965
570.119,174.073,43.002218704465406,-78.78035720408717
584.204,217.856,43.00261200257725,-78.78018419743343
596.864,215.518,43.0025910006313,-78.78002869411525
202.605,-31.514,43.0003719042692,-78.78487139417224
202.881,-34.275,43.000347101664914,-78.7848680040525
192.973,-34.353,43.000346400975474,-78.78498970443769
216.485,-55.281,43.00015840032094,-78.7847009055422
216.428,-47.611,43.000227301621436,-78.78470160567562
210.469,-51.496,43.000192401819845,-78.78477480032593
200.528,-52.364,43.000184604383975,-78.78489690605153
179.955,-1.592,43.00064069881904,-78.7851496050851
201.188,-37.515,43.000317996096925,-78.78488879924349
222.477,-6.624,43.000595495566756,-78.78462730555148
218.268,-1.291,43.00064340274858,-78.7846790048774
215.981,-29.655,43.000388604025005,-78.78470709619563
222.616,-24.446,43.0004353974532,-78.78462559820856
209.37,-27.039,43.00041210405021,-78.78478829938967
194.577,-29.822,43.00038710383194,-78.78497000243752
196.051,-2.905,43.00062890393545,-78.78495189723286
203.915,-3.451,43.00062399913173,-78.78485530338656
209.867,-32.004,43.00036750250385,-78.78478219471754
209.59,-29.711,43.00038810096626,-78.7847855971203
212.594,-36.702,43.00032529943985,-78.78474869886061
211.063,-34.676,43.000343499402476,-78.7847675041987
219.091,-42.813,43.0002704030737,-78.78466889593342
214.67,-39.652,43.000298798991054,-78.78472319926436
223.731,-33.785,43.000351503431716,-78.78461190261618
222.697,-40.03,43.000295403339464,-78.78462460328214
222.315,-26.082,43.00042070096089,-78.78462929540437
223.65,-29.956,43.00038590008421,-78.7846128975426
168.525,0.234,43.00065710205777,-78.78529000026097
221.663,-25.192,43.000428695996845,-78.78463730394807
187.323,-88.487,42.999860102612615,-78.78505910362789
178.637,-88.565,42.999859401917575,-78.78516579413512
207.196,-88.309,42.99986170163447,-78.78481500272407
194.797,-88.42,42.999860704491596,-78.78496730016815
230.936,-88.098,42.99986359710414,-78.78452340329488
213.139,-88.254,42.99986219571423,-78.78474200460242
249.173,-87.942,42.99986499849402,-78.78429939744862
240.437,-88.02,42.99986429779912,-78.784406702108
299.177,-87.497,42.99986899604832,-78.78368519619094
258.454,-87.853,42.99986579800492,-78.7841853985311
173.239,-67.548,43.00004820299554,-78.78523209799859
308.132,-87.419,42.99986969674322,-78.78357520154528
173.451,-79.27,42.99994290134774,-78.78522949399358
173.345,-73.493,42.99999479760123,-78.78523079599609
178.62,-73.66,42.99999329739862,-78.78516600294684
178.718,-79.181,42.999943700857585,-78.78516479920867
183.668,-67.604,43.000047699934015,-78.78510399814826
178.514,-67.704,43.00004680160981,-78.78516730494934
183.871,-79.137,42.99994409612091,-78.78510150469062
183.774,-73.493,42.99999479760123,-78.78510269614574
188.61,-73.393,42.999995695926174,-78.78504329535217
188.707,-79.048,42.99994489563073,-78.78504210389704
193.853,-64.765,43.00007320335172,-78.7849788953603
188.512,-67.704,43.00004680160981,-78.78504449909035
168.867,-64.854,43.00007240384355,-78.78528579946045
168.981,-85.593,42.99988610018778,-78.7852843991936
259.178,-47.979,43.00022399579814,-78.78417650560831
259.211,-54.001,43.00016989884844,-78.78417610026791
172.579,-85.571,42.999886297819586,-78.78524020480666
223.585,-48.034,43.00022350172125,-78.78461369594037
220.564,-85.203,42.9998896036611,-78.7846508030118
220.727,-98.706,42.99976830251748,-78.78464880087587
286.403,-84.691,42.99989420309248,-78.78384209977597
286.566,-98.684,42.999768500149685,-78.78384009764005
220.662,-93.174,42.99981799801611,-78.78464959927364
286.501,-93.029,42.999819300590985,-78.7838408960378
290.384,-81.14,42.99992610265494,-78.78379320098375
172.579,-93.285,42.999817000872525,-78.78524020480666
290.93,-46.231,43.00023969845745,-78.78378649444252
291.263,-84.658,42.999894499540176,-78.78378240418937
183.595,-60.502,43.00011149888297,-78.78510489481037
-427.362,31.904,43.00094159783981,-78.79260930561323
-8.418,-46.286,43.000239204380705,-78.78746339865185
78.043,-51.107,43.000195896292496,-78.7864013945134
-304.118,-508.733,42.99608480374485,-78.7910954943221
-446.355,89.78,43.00146150216878,-78.79284259743963
143.841,116.129,43.001698195700016,-78.78559319488231
118.35,87.642,43.00144229643709,-78.78590630191894
144.598,111.71,43.0016584998088,-78.78558389661913
146.43,113.569,43.00167519921487,-78.78556139408525
138.614,105.153,43.001599598209424,-78.7856573983455
145.111,111.209,43.00165399932257,-78.78557759541832
133.029,98.496,43.00153979825123,-78.78572599913792
138.997,104.741,43.00159589720724,-78.78565269394022
127.338,91.85,43.001480097048216,-78.78579590193284
133.46,98.084,43.001536097245435,-78.78572070514662
120.996,84.926,43.00141789850173,-78.78587380098845
127.753,91.438,43.00147639603887,-78.78579080447022
103.94,21.184,43.00084529881511,-78.7860833005615
105.43,22.665,43.00085860282181,-78.78606499882818
128.527,-4.631,43.00061339900512,-78.7857812973953
101.237,18.49,43.00082109827153,-78.7861165016254
152.487,49.771,43.00110209887333,-78.78548699569676
152.763,32.472,43.00094670024663,-78.78548360557703
150.687,69.152,43.00127619984488,-78.78550910517329
151.835,63.753,43.001227700273915,-78.78549500424049
147.96,76.521,43.00134239599325,-78.78554260103022
149.702,72.915,43.00131000309801,-78.78552120397015
130.049,81.653,43.00138849700056,-78.78576260260462
145.778,80.507,43.001378202429436,-78.78556940262895
125.913,77.167,43.00134819904477,-78.78581340526843
131.018,79.137,43.001365895653635,-78.78575070033641
113.18,20.672,43.0008406994549,-78.78596980524871
135.064,65.323,43.00124180369082,-78.78570100314641
-167.312,203.15,43.00247990039742,-78.78941510040846
116.95,20.071,43.00083530059612,-78.78592349817843
130.269,18.379,43.00082010114426,-78.78575990033525
125.523,19.581,43.000830898863995,-78.785818195655
132.996,19.258,43.00082799731388,-78.78572640447831
136.88,19.971,43.00083440228349,-78.78567869714122
151.233,32.628,43.00094810161178,-78.78550239863206
150.5,22.231,43.000854704146235,-78.78551140210223
151.127,41.032,43.001023595621774,-78.78550370063458
-171.594,-289.224,42.99805680166904,-78.78946769639649
-110.575,-198.591,42.99887100079479,-78.78871819742557
-171.765,-277.892,42.998158602977384,-78.78946979679677
-275.567,22.531,43.000857399083316,-78.79074480117539
-275.673,29.244,43.00091770276009,-78.79074610317792
-279.882,14.583,43.00078600117823,-78.79079780250385
-286.265,36.947,43.000986899651565,-78.79087620516417
-272.506,31.236,43.00093559712144,-78.79070720278227
-272.367,14.639,43.0007865042337,-78.79070549543937
-277.399,30.724,43.00093099776802,-78.79076730370927
-276.633,31.036,43.00093380049901,-78.79075789489872
-279.255,29.155,43.00091690326292,-78.79079010103618
