lon,lat,area,perimeter,height,id
-78.8823611,42.887733,0.0,0.0,,0
-78.8829914,42.8879256,0.0,0.0,,1
-78.8814786,42.8892423,0.0,0.0,,2
-78.8823262,42.8902052,0.0,0.0,,3
-78.87705134230167,42.891114478090486,1862.4890567148032,208.07568249673798,,4
-78.87750387361613,42.890613530002405,2669.715458944444,223.44310503174285,,5
-78.87317062132462,42.89059000700054,833.6007258080476,116.1691730252594,,6
-78.88098450715903,42.88446567698741,1976.7330752636226,180.35198166713496,,7
-78.87572466506835,42.88699461404634,10334.018953172768,488.71383848950256,,8
-78.87331062115307,42.88359745480413,6072.150934557082,312.16528063715174,,9
-78.87961547998034,42.88559478930736,4088.1322096458794,261.9662632135487,12,10
-78.87492226229185,42.889497809496596,7688.546520760015,356.2912502121073,,11
-78.87620119232554,42.88532507679793,3915.2590408626806,247.65125835827268,,12
-78.87420279655345,42.881999463556525,208.57564160603917,73.82904098194179,,13
-78.87619560254481,42.88490264358603,1793.6150848188279,182.47021126371146,,14
-78.87396650592414,42.881829740105836,303.8157640776433,85.3864915596011,,15
-78.87430421635354,42.88377930392274,1570.3377855500917,189.32157675124782,97,16
-78.875686,42.883604649999995,4136.815015844963,258.93348126851,,17
-78.87536068015524,42.88463842477984,12811.291320138334,519.9598349702013,,18
-78.87499438010708,42.88561411627235,1795.2422630502329,200.36285165723396,105,19
-78.88126054823435,42.883027267122365,17110.515868218277,704.8099481017633,,20
-78.87983697433508,42.88199734754895,4018.0900367088507,255.83523919625813,,21
-78.87928921003125,42.886616514764206,4503.729084073292,261.0098640219658,,22
-78.87306112634703,42.88824273649452,107.03100039813233,42.88206535211316,,23
-78.87310791398279,42.88819395603087,119.30987991666188,52.99337458329308,,24
-78.87320177200475,42.88819689283246,88.16504749989033,41.127927761568245,,25
-78.87320965310991,42.88813060131648,311.87459654770527,97.21755548491222,,26
-78.87282913792924,42.888072120807,328.8773938536009,79.17521163933947,,27
-78.87319866721305,42.88787195071882,376.90442539305576,108.20254090057645,,28
-78.87323141736202,42.887970852809076,418.46026657482287,94.4887268842566,,29
-78.87320925395446,42.88805297666882,239.79454253370864,84.37028760897437,,30
-78.87285789898591,42.888260731058736,655.7122179191459,130.05543609544577,,31
