x,z,lat,lon
0,0,40.70349999999999,-74.01623000000001
161.077,-82.721,40.70275690046853,-74.01432129427863
169.271,-94.51,40.70265099681396,-74.01422419826443
152.14,-65.578,40.70291090019779,-74.01442719458116
155.988,-73.782,40.70283720171926,-74.01438159713638
7.469,-204.981,40.701658598893744,-74.01614149498047
148.747,-55.682,40.70299979820524,-74.01446740043622
161.844,-376.273,40.70011979636229,-74.01431220559874
143.194,-29.533,40.703234700018754,-74.01453320153054
174.368,-324.044,40.70058899960989,-74.01416380060948
144.671,-5.544,40.70345019738204,-74.01451569960071
143.422,-16.742,40.703349603885385,-74.01453049981083
168.672,-377.575,40.7001080997027,-74.01423129620346
-104.172,-43.069,40.70311310346659,-74.0174644015124
118.004,-289.236,40.70090169812582,-74.01483169415903
153.439,55.404,40.70399770074047,-74.01441180188866
119.649,-288.69,40.700906603118426,-74.01481220148837
-115.497,-14.605,40.703368800923556,-74.0175985987739
138.586,75.575,40.704178898315945,-74.01458780470767
159.439,108.203,40.70447199699427,-74.01434070400175
126.173,-188.695,40.70180490240489,-74.01473489438601
160.005,104.808,40.70444149962847,-74.01433399710109
126.426,-190.543,40.70178830111385,-74.01473189642512
124.535,-190.81,40.7017859025504,-74.01475430410915
67.428,91.85,40.70432509747772,-74.01543100194702
-97.589,40.699,40.703865604334055,-74.0173863952808
128.156,-200.528,40.70169860196725,-74.01471139653441
125.928,-200.84,40.7016957991477,-74.01473779754974
-93.226,37.749,40.70383910417337,-74.0173346952674
128.4,-202.265,40.70168299780693,-74.01470850522034
-84.711,34.799,40.70381260400211,-74.01723379551622
-80.205,32.194,40.7037892029947,-74.01718040100316
-77.8,32.695,40.70379370353453,-74.01715190260016
-71.648,37.782,40.70383940061592,-74.01707900356679
-63.023,42.591,40.70388260036373,-74.01697680035439
102.822,-213.853,40.701578898110654,-74.01501159551219
98.982,-214.81,40.70157030098491,-74.0150570981598
99.978,-214.888,40.7015696002787,-74.01504529591058
97.471,-214.933,40.701569196025105,-74.01507500297767
100.619,-215.01,40.70156850430226,-74.01503770028633
95.522,-215.5,40.701564102429614,-74.01509809794126
101.741,-215.678,40.70156250338189,-74.01502440498149
94.737,-215.957,40.70155999700927,-74.0151073999148
109.159,-216.302,40.70155689773122,-74.01493650429398
93.682,-216.847,40.701552001769926,-74.01511990129325
108.586,-217.281,40.70154810296742,-74.01494329414218
92.762,-218.194,40.70153990110805,-74.01513080296922
113.463,-218.862,40.70153390018507,-74.01488550340979
112.889,-219.83,40.70152520423588,-74.01489230510761
117.506,-222.569,40.70150059864619,-74.01483759528367
90.83,-223.459,40.701492603399686,-74.01515369648881
88.695,-228.535,40.70144700352597,-74.0151789954869
87.277,-230.94,40.70142539837394,-74.0151957982875
-59.31,6.29,40.703556504007395,-74.01693280261203
84.602,-234.034,40.701397603627555,-74.01522749609542
-61.791,5.388,40.70354840120993,-74.01696220158824
-60.145,-2.082,40.70348129707318,-74.01694269706795
-58.685,-2.171,40.70348049757234,-74.01692539658214
-56.398,70.354,40.70413199773648,-74.0168982964376
-60.28,68.952,40.70411940347452,-74.0169442967704
-39.259,65.612,40.70408940001627,-74.01669520532366
-34.507,61.081,40.70404869769854,-74.01663889579723
-51.504,-14.182,40.703372600804585,-74.01684030426118
-51.175,42.413,40.703881001371684,-74.01683640572703
-69.293,34.12,40.703806504469725,-74.01705109764619
-82.551,20.961,40.7036882956005,-74.01720820027694
-88.593,7.058,40.70356340306256,-74.01727979584906
-89.454,-9.874,40.70341130028979,-74.01728999839582
5.536,-11.366,40.703397897406546,-74.0161644003497
-23.3,-45.552,40.70309079816474,-74.01650609679416
108.003,-251.956,40.701236602285945,-74.01495020248684
-29.545,-49.058,40.70305930302999,-74.01658009784477
108.678,-252.357,40.70123299991914,-74.01494220397458
104.476,-259.492,40.70116890291129,-74.01499199619472
-54.466,140.776,40.70476460031878,-74.016875402918
114.442,130.234,40.704669901652295,-74.01487390260456
-0.987,-79.727,40.70278379632276,-74.01624169560242
91.927,-81.029,40.70277210013097,-74.01514069742517
94.754,-93.363,40.702661300620804,-74.01510719847077
102.568,-82.721,40.70275690046853,-74.01501460532275
143.27,40.376,40.703862702791525,-74.0145323009573
103.134,-92.573,40.702668397400544,-74.0150078984221
98.391,-186.335,40.70182610318176,-74.01506410130166
97.024,-62.016,40.70294289846356,-74.01508029977023
100.416,-70.164,40.70286970308172,-74.01504010576484
95.21,-51.374,40.703038497907045,-74.01510179503136
-29.655,176.51,40.705085597433936,-74.01658140130603
-67.994,32.093,40.70378829570018,-74.01703570495368
-92.323,4.564,40.70354099909693,-74.01732399503541
-16.38,-111.586,40.70249759836409,-74.01642409723125
-14.481,-108.97,40.70252109864143,-74.01640159475005
-11.967,-101.857,40.70258499671601,-74.01637180473544
114.164,112.333,40.704509096863774,-74.01487719680664
-244.902,384.263,40.70695180380915,-74.01913200244965
-252.261,345.588,40.706604397472915,-74.01921920400792
1.561,-88.254,40.702707196110765,-74.01621150269976
-12.304,-100.499,40.702597196004035,-74.01637579806675
3.376,-86.383,40.70272400378764,-74.01618999558899
-47.233,-65.957,40.702907495552694,-74.01678969441534
164.587,17.043,40.70365309969793,-74.0142797020148
-2.633,-93.029,40.702664301031575,-74.01626120012271
-47.073,-64.264,40.70292270416397,-74.0167877984717
-106.805,-37.771,40.70316069646975,-74.01749560163508
