x,z,lat,lon
0,0,42.88641999999999,-78.8774
-114.794,262.43,42.888777403753465,-78.8788074056344
-104.786,232.439,42.88850799972431,-78.87868470483482
-98.448,257.576,42.888733801180535,-78.87860699923252
-6.966,231.192,42.88849679811091,-78.87748540505297
-137.354,-314.738,42.88359259564754,-78.87908399736493
-155.429,136.056,42.88764219973501,-78.87930560177666
-168.756,154.435,42.88780729760893,-78.87946899441819
-157.778,156.105,42.88782229913497,-78.87933440115499
-164.352,128.419,42.887573596717885,-78.87941500018144
11.827,35.455,42.88673849686174,-78.8772549977661
-100.569,105.688,42.88736940415137,-78.87863300326887
349.805,-97.126,42.88554749612689,-78.87311129564308
-102.347,100.667,42.88732430041864,-78.87865480203203
-47.772,160.992,42.88786619878931,-78.87798569770169
12.512,-258.39,42.88409879946721,-78.87724659947995
344.16,-82.676,42.88567730438484,-78.87318050487707
385.799,-78.046,42.88571889686918,-78.87266999942199
364.282,-76.109,42.88573629743158,-78.87293380368908
-389.469,666.747,42.892409199431114,-78.88217499577532
80.088,62.584,42.886982199075504,-78.87641809935668
-19.51,-249.184,42.88418150142863,-78.8776391979017
77.331,76.187,42.88710439566887,-78.87645190092587
345.033,-73.27,42.88576180087986,-78.87316980165984
63.465,65.211,42.88700579759845,-78.87662190185387
395.57,-77.856,42.885720603687645,-78.87255020430678
17.805,-199.749,42.88462559810537,-78.87718170586163
20.579,46.832,42.88684069757926,-78.8771476958678
7.765,41.622,42.88679389565445,-78.87730479898993
423.351,-72.168,42.88577170041913,-78.87220960169749
410.88,-74.795,42.88574810142407,-78.8723624995464
190.077,-364.072,42.88314939888107,-78.87506960432798
267.482,-364.929,42.883141699910425,-78.87412059799374
-268.648,-312.656,42.88361129942615,-78.88069369748311
-552.802,130.111,42.887588795926376,-78.88417750273985
-368.883,92.051,42.88724690265988,-78.88192260582122
-302.709,74.629,42.88709040007046,-78.88111129459891
49.664,156.684,42.887827500262034,-78.87679110586419
-244.244,767.513,42.893314301278025,-78.8803944978115
129.304,426.601,42.89025210294878,-78.8758146978226
121.686,373.977,42.8897794010702,-78.87590809657274
-41.728,-57.363,42.88590469725128,-78.87791159661928
359.853,388.794,42.88991249705333,-78.87298810443262
308.264,221.062,42.88840580176918,-78.87362059959155
-189.017,-162.369,42.884961397212265,-78.87971739978397
226.227,191.305,42.88813849811626,-78.87462639550448
262.759,209.462,42.888301600462825,-78.87417850325718
222.728,179.494,42.88803240096266,-78.87466929419531
197.565,196.337,42.8881837000655,-78.87497779941317
227.54,171.178,42.887957698971036,-78.8746102977677
253.355,197.216,42.888191596030566,-78.87429379885266
258.387,193.932,42.88816209619685,-78.87423210516523
152.664,152.209,42.88778730155718,-78.87552829787468
256.201,192.619,42.88815030164912,-78.87425890611928
306.739,213.837,42.88834090054516,-78.87363929650594
255.826,198.775,42.88820560036203,-78.87426350372118
261.014,203.773,42.88825049684394,-78.87419989743138
258.681,188.088,42.8881096001119,-78.87422850064536
158.406,174.462,42.88798719890255,-78.87545789939435
257.009,200.857,42.88822430274206,-78.87424899981971
278.297,228.498,42.888472598307146,-78.87398800315485
135.976,150.027,42.887767700749066,-78.87573289728954
260.753,190.025,42.88812699999991,-78.8742030973623
250.076,203.996,42.88825250002756,-78.87433400028371
257.515,199.844,42.888215203073685,-78.8742427961222
119.353,364.815,42.889697101851255,-78.87593669978669
76.099,280.798,42.88894239977836,-78.87646700558065
144.034,-575.175,42.881252898676905,-78.87563410401984
182.598,156.116,42.88782239794739,-78.87516129890034
146.759,132.872,42.88761359793642,-78.87560069477934
196.439,-106.209,42.8854659009416,-78.87499160447916
230.623,-84.302,42.88566269760071,-78.87457249934992
226.153,-103.504,42.88549020074106,-78.87462730276461
206.888,-98.94,42.88553120045495,-78.87486349689972
211.406,-79.882,42.885702403610935,-78.87480810499197
157.068,-87.274,42.885635999336955,-78.87547430363793
175.6,-91.549,42.88559759585854,-78.875247096282
180.127,-72.457,42.88576910426062,-78.87519159403182
161.489,-68.161,42.88580769628038,-78.87542010097657
303.941,-20.282,42.88623780342499,-78.87367360074629
301.054,-34.22,42.88611259574384,-78.87370899615081
281.234,-30.112,42.88614949870856,-78.87395199473674
284.121,-16.175,42.886274697331686,-78.87391659933222
304.626,-41.956,42.88604310168802,-78.87366520246015
310.801,-15.462,42.88628110233438,-78.87358949528213
280.826,-8.405,42.88634449655416,-78.8739569969276
274.578,-34.965,42.88610590326127,-78.87403359910547
263.461,-176.973,42.884830204006676,-78.87416989654642
292.889,-127.571,42.885273999564106,-78.87380910126957
273.591,-123.007,42.885314999421695,-78.87404569999366
248.747,-120.569,42.885336900736746,-78.87435029418484
312.766,-135.653,42.885201396331354,-78.87356540384816
274.733,-126.68,42.885282003701434,-78.87403169876335
270.059,-146.795,42.88510130398393,-78.87408900327347
285.116,-150.302,42.885069799385434,-78.87390440036182
192.532,107.48,42.88738550171141,-78.87503950536086
300.719,-185.812,42.88475079982129,-78.87371310334184
276.96,-180.491,42.884798600452456,-78.87400439513817
282.025,-158.45,42.88499660301065,-78.87394229686178
268.436,-155.322,42.88502470295467,-78.87410890169451
236.887,-170.684,42.884886700485,-78.87449570100772
-126.482,-180.48,42.88479869926968,-78.87895070369055
-123.782,-168.903,42.884902699875795,-78.87891760095684
-145.976,-163.727,42.884949197801035,-78.87918970542789
-148.675,-175.304,42.884845197273336,-78.87922279590133
-131.237,-176.573,42.88483379736033,-78.87900900128268
-129.524,-169.471,42.88489759731928,-78.87898799943719
-140.013,-166.933,42.88492039711966,-78.8791165974275
-141.734,-174.035,42.88485659718424,-78.87913769735516
7.015,-244.264,42.88422570012858,-78.87731399419374
-3.181,-221.778,42.88442770215775,-78.87743899992441
0.383,-272.115,42.88397550093197,-78.87739530431591
-18.099,-278.805,42.883915401228705,-78.87762189865828
-162.182,185.205,42.88808370238618,-78.87938839539176
-166.13,172.926,42.88797340112879,-78.8794367989446
-177.321,188.723,42.88811530425747,-78.87957400364569
-187.149,82.332,42.88715959650594,-78.87969449759636
-174.156,136.546,42.88764660139253,-78.87953519988561
-183.316,149.771,42.88776540111215,-78.87964750397477
-196.407,142.401,42.88769919668414,-78.87980800319214
-228.731,150.428,42.88777130291453,-78.88020430421595
-231.104,92.418,42.887250199432685,-78.88023339784081
-207.703,-15.139,42.88628400389925,-78.87994649522174
-199.93,16.809,42.88657099763131,-78.8798511961295
-217.548,21.095,42.8866094993181,-78.88006719759706
-225.321,-10.843,42.88632259559688,-78.88016249668932
67.136,115.283,42.88745559611607,-78.87657689439628
66.043,110.474,42.887412396844184,-78.87659029487331
49.2,100.634,42.88732400397893,-78.87679679463027
52.919,119.002,42.887489003891574,-78.87675119867964
40.937,136.056,42.88764219973501,-78.87689810125568
-19.078,86.551,42.88719749596174,-78.87763390146429
-15.375,101.246,42.88732950158766,-78.87758850167805
18.564,93.131,42.88725660433414,-78.87717240031537
15.04,78.403,42.887124302111516,-78.877215605513
29.885,87.943,42.887210000351615,-78.87703360177898
41.745,85.104,42.887184497502034,-78.87688819495611
47.642,109.784,42.88740619856813,-78.87681589613364
35.358,112.723,42.88743259962661,-78.87696650131173
-7.92,131.737,42.88760340225443,-78.87749710135219
25.146,123.811,42.8875322031098,-78.87709170320676
268.428,430.486,42.89028700031963,-78.87410899977668
-11.713,115.896,42.88746110269608,-78.87754360456292
230.305,268.241,42.8888296028376,-78.87457639811633
116.939,-214.242,42.88449540134681,-78.8759662960827
-180.95,-362.814,42.88316070028549,-78.87961849617183
-58.4,221.474,42.88840950270887,-78.87811599986976
-86.629,228.198,42.888469903450925,-78.87846209508078
106.621,139.062,42.88766920255148,-78.87609279756654
378.189,101.969,42.887335996311066,-78.87276330008993
473.929,171.79,42.887963196523316,-78.87158950167331
-570.077,140.052,42.88767809569211,-78.88438929893418
-326.567,380.768,42.88984040230861,-78.88140380016216
-108.154,-8.661,42.88634219686418,-78.87872599743005
230.395,221.852,42.88841289823105,-78.87457529469188
364.902,271.681,42.8888605036685,-78.87292620232058
361.476,271.937,42.8888628032646,-78.87296820601158
367.936,254.314,42.88870449922814,-78.87288900465612
236.691,246.544,42.88863470267606,-78.87449810402099
354.013,257.587,42.888733899991536,-78.87305970441959
360.0,252.945,42.888692201746125,-78.87298630217268
372.072,261.049,42.888764998492235,-78.8728382961722
367.961,270.278,42.88884790080243,-78.87288869814932
155.078,-51.919,42.88595360192451,-78.8754987015787
353.451,265.836,42.88880799919514,-78.8730665946923
262.506,227.886,42.888467100800284,-78.87418160510595
405.26,253.513,42.888697303988806,-78.8724314022736
358.092,253.668,42.88869869632612,-78.87300969477116
372.072,263.532,42.888787302808765,-78.8728382961722
269.57,258.778,42.88874459852431,-78.87409499854634
355.4,255.683,42.88871679670774,-78.87304269942268
352.904,260.76,42.88876240245972,-78.87307330106094
389.07,306.881,42.8891766973278,-78.87262989607311
371.06,257.832,42.88873610078136,-78.8728507035672
218.135,216.453,42.8883643997367,-78.87472560562344
371.077,266.738,42.888816101684796,-78.87285049514257
379.38,240.666,42.888581901576885,-78.87274869810629
364.878,252.923,42.888692004124096,-78.8729264965671
257.588,235.133,42.8885321995142,-78.87424190112236
270.932,307.115,42.88917879929156,-78.87407830005623
399.135,234.91,42.888530196339616,-78.87250649643804
-7.023,-106.988,42.885458902956856,-78.87748610388846
435.227,181.03,42.8880461987232,-78.87206399871029
173.724,-294.311,42.883776102648085,-78.87527009655179
-273.102,-65.066,42.88583549940813,-78.88074830473344
-215.827,-83.823,42.885667000583624,-78.88004609766938
-264.048,-69.318,42.88579730266849,-78.8806373002331
-345.335,-14.705,42.88628790259605,-78.88163390094223
-352.602,-44.016,42.88602459627734,-78.88172299633698
-32.226,182.411,42.888058604128986,-78.87779509951717
-26.778,206.59,42.88827580162939,-78.87772830555672
-205.681,365.182,42.88970039849309,-78.87992170495228
-223.078,294.591,42.88906629921439,-78.88013499689978
-229.546,296.584,42.88908420186738,-78.88021429633743
-242.466,289.125,42.88901719938792,-78.88037269904834
-257.874,312.982,42.889231501069645,-78.88056160531535
-243.461,373.131,42.88977180173629,-78.88038489801873
349.364,225.403,42.88844479636799,-78.8731167024229
271.405,-267.451,42.88401740000279,-78.8740725009477
-87.543,187.676,42.88810589915417,-78.87847330096916
118.676,230.758,42.88849289955371,-78.87594499999068
48.319,225.882,42.88844909915679,-78.87680759592968
77.005,280.397,42.88893879768122,-78.87645589777446
22.765,287.489,42.8890025035669,-78.87712089491379
79.444,294.714,42.88906740409482,-78.87642599497168
-217.662,273.35,42.8888754959556,-78.88006859526804
41.981,305.657,42.8891657024391,-78.87688530153197
73.326,193.409,42.88815739814041,-78.8765010033142
29.167,305.579,42.88916500178436,-78.87704240465408
-199.066,344.231,42.88951220217959,-78.8798406032547
